name,service_type,address,phone,website,category,hours,google_maps_url
The Drip Lab - Mobile IV Hydration Nashville,Mobile,"305 Church St, Nashville, TN 37201",(615) 910-2325,http://thedriplabtn.com/,IV therapy service,Hours,https://www.google.com/maps/place/The+Drip+Lab+-+Mobile+IV+Hydration+Nashville/data=!4m7!3m6!1s0x88646714292870d3:0x28b0ccfa8d61b55d!8m2!3d36.1639536!4d-86.7779199!16s%2Fg%2F11yp0sk0s6!19sChIJ03AoKRRnZIgRXbVhjfrMsCg
Restore Hyper Wellness,In-Person,"117 17th Ave S, Nashville, TN 37203",(615) 987-9626,https://www.restore.com/locations/tn-nashville-music-row-tn004?utm_source=gmb&utm_medium=Yext&y_source=1_NjMzNjcxOTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Medical spa,Hours,https://www.google.com/maps/place/Restore+Hyper+Wellness/data=!4m7!3m6!1s0x8864674251ebf2c3:0x79cdf2eb721ab298!8m2!3d36.1522326!4d-86.793385!16s%2Fg%2F11jzc0cs54!19sChIJw_LrUUJnZIgRmLIacuvyzXk
61Five Health & Wellness,In-Person,"1913 Church St, Nashville, TN 37203",(615) 401-9380,https://61five.com/,Medical spa,Hours,https://www.google.com/maps/place/61Five+Health+%26+Wellness/data=!4m7!3m6!1s0x886466951c6bc649:0x5299405ec89407a!8m2!3d36.153571!4d-86.799684!16s%2Fg%2F11b7cdythh!19sChIJScZrHJVmZIgRekCJ7AWUKQU
Vida-Flo Nashville,In-Person,"1516 Demonbreun St, Nashville, TN 37203",(615) 840-6747,http://govidaflo.com/nashville,Medical spa,Hours,https://www.google.com/maps/place/Vida-Flo+Nashville/data=!4m7!3m6!1s0x8864668d10863d51:0xfc33528e1089fbf3!8m2!3d36.1531458!4d-86.7899249!16s%2Fg%2F11bzs4bg6q!19sChIJUT2GEI1mZIgR8_uJEI5SM_w
Drip Refresh Mobile IV Therapy - Nashville,Mobile,"401 4th Ave S, Nashville, TN 37201",(615) 880-9541,https://driprefreshmobileiv.com/mobile-iv-therapy-nashville-tennessee?utm_source=googlebusinessprofile-nashville&utm_medium=organic&utm_campaign=Google+Business+Profile,IV therapy service,Hours,https://www.google.com/maps/place/Drip+Refresh+Mobile+IV+Therapy+-+Nashville/data=!4m7!3m6!1s0x88646775c6b26d35:0x13db2223262ec48d!8m2!3d36.1566997!4d-86.7747101!16s%2Fg%2F11yvqn5928!19sChIJNW2yxnVnZIgRjcQuJiMi2xM
IntraVenous Solutions,In-Person,"2817 West End Ave, Nashville, TN 37203",(615) 393-6978,https://www.ivsolns.com/,IV therapy service,Hours,https://www.google.com/maps/place/IntraVenous+Solutions/data=!4m7!3m6!1s0x886467bf40eb5b09:0x5a1f5412b1e7e078!8m2!3d36.1441684!4d-86.8120125!16s%2Fg%2F11gv071yjx!19sChIJCVvrQL9nZIgReODnsRJUH1o
Nashville Wellness & IV,In-Person,"67 Lindsley Ave, Nashville, TN 37210",(615) 263-2338,https://www.nashvillewellnessiv.com/,Wellness center,Hours,https://www.google.com/maps/place/Nashville+Wellness+%26+IV/data=!4m7!3m6!1s0x886467829600d53d:0xf3ea7b65714299b9!8m2!3d36.1545518!4d-86.7635626!16s%2Fg%2F11xrt4qxy8!19sChIJPdUAloJnZIgRuZlCcWV76vM
IV Nutrition,In-Person,"315 Deaderick St Suite 190, Nashville, TN 37238",(615) 235-1998,https://ivnutrition.com/locations/nashville-tn/,IV therapy service,Hours,https://www.google.com/maps/place/IV+Nutrition/data=!4m7!3m6!1s0x886467f6a69ee567:0x1ad99aaf6cc4ef16!8m2!3d36.1659181!4d-86.7796889!16s%2Fg%2F11wc8zq4rk!19sChIJZ-WepvZnZIgRFu_EbK-a2Ro
GetWell Health,In-Person,"114 George L Davis Blvd, Nashville, TN 37203",(615) 651-6953,https://getwellhealth.co/,Wellness center,Hours,https://www.google.com/maps/place/GetWell+Health/data=!4m7!3m6!1s0x8a9c18852f8dcbd3:0xbd8bd1d0d0b3f194!8m2!3d36.1570774!4d-86.7891868!16s%2Fg%2F11tfgzc4gx!19sChIJ08uNL4UYnIoRlPGz0NDRi70
Replenish I.V. Hydration+Wellness,In-Person,"1021 Russell St #202, Nashville, TN 37206",(615) 600-1851,https://www.replenishnashville.com/,Wellness center,Hours,https://www.google.com/maps/place/Replenish+I.V.+Hydration%2BWellness/data=!4m7!3m6!1s0x886467223cea2179:0x6d1b430d60d7f8a1!8m2!3d36.1758892!4d-86.7505872!16s%2Fg%2F11tg2cz877!19sChIJeSHqPCJnZIgRofjXYA1DG20
